zone	mean	mean+std	mean-std
1	0.800788955	1.191321499	0.414201183
2	0.777120316	0.966469428	0.591715976
3	0.386587771	0.489151874	0.284023669
4	0.122287968	0.240631164	0.003944773
5	-0.122287968	0.01183432	-0.264299803
6	-0.252465483	-0.1617357	-0.339250493
7	-0.303747535	-0.145956607	-0.465483235
8	-0.654832347	-0.469428008	-0.84418146	
9	-0.958579882	-0.587771203	-1.337278107
10	-0.729783037	-0.177514793	-1.293885602
