zone	mean	mean+std	mean-std
1	0.813513514	1.237837838	0.389189189
2	0.762162162	0.964864865	0.559459459
3	0.335135135	0.437837838	0.227027027
4	0.075675676	0.2	-0.045945946	0.58543
5	-0.162162162	-0.021621622	-0.294594595
6	-0.248648649	-0.162162162	-0.332432432
7	-0.278378378	-0.116216216	-0.448648649
8	-0.594594595	-0.413513514	-0.778378378
9	-0.816216216	-0.472972973	-1.156756757
10	-0.494594595	0.043243243	-1.032432432	
